Name    , X                , Y                , Type              ,storagelower,storageupper, initStor , S       , cost        ,D, Description
Units   ,                  ,                  ,                   , 1e6 m^3         , 1e6 m^3         , 1e6 m^3   , 1e6 m^3 ,,,
Desal1,507143.6868,164415.5771,desal, TS/min_stor.csv , TS/max_stor.csv ,10000, NULL           ,,,
WWTP1,515264.8958,169559.0095,WWTP,                 ,                 ,           ,,,,
Hp1,494488.1362,148849.9266,hp,                 ,                 ,           ,         ,,,
J1,501129.8185,140506.8892,jn,                 ,                 ,           ,         ,,,
J2,490359.855,146819.6244,jn,                 ,                 ,           ,         ,,,
J3,507046.8452,169181.1477,jn,,,,,,,
SR2,478329.2,165643.3,sr, TS/min_stor.csv , TS/max_stor.csv ,200, NULL           ,,,
SR3,489264.4,159233.1,sr, TS/min_stor.csv , TS/max_stor.csv ,600, NULL           ,,,
SR1,502128.3,162394.8,sr, TS/min_stor.csv , TS/max_stor.csv ,150, NULL           ,,,
GW1,494927.1,163201.4,gw, TS/min_stor.csv , TS/max_stor.csv ,600, NULL           ,,,
EndPt,500928.9,159989.3,ag,,,,, TS/cost.csv , TS/demand.csv ,
SR4,478898.2,160766.3,sr, TS/min_stor.csv , TS/max_stor.csv ,150, NULL           ,,,
GW2,486232.1,164232.9,gw, TS/min_stor.csv , TS/max_stor.csv ,600, NULL           ,,,
Urb2,499765.6,159382.8,ur,,,,, TS/cost.csv , TS/demand.csv ,
Urb1,509195.6,162881.7,ur,,,,, TS/cost.csv , TS/demand.csv ,
Ag2,510264.7,160076.2,ag,,,,, TS/cost.csv , TS/demand.csv ,
Ag1,510998.3,162543.6,ag,,,,, TS/cost.csv , TS/demand.csv ,
